,prefix,subject,fwh,mask,stat,mean,std
1215,rs,sub-CTS210,3,union,sig,5.799734524496373,1.749744267692471
1214,rs,sub-adult15,1,union,std,37.307254791259766,51.879417419433594
1213,rr.rs,sub-CTS210,2,union,std,2.5377609729766846,2.5650510787963867
1212,rr.rs,sub-1,16,union,sig,7.319489930164714,0.5361039330859991
1211,rr.rs,sub-adult15,4,union,std,18.87643814086914,21.257530212402344
1210,rr,sub-xp201,18,union,sig,10.022762665060396,1.0938077006888824
1209,rr,sub-1,11,union,sig,9.060101661015294,1.1074798211925414
1208,rs,sub-xp201,0,union,sig,6.862759921484408,1.7155723098611615
1207,rr.rs,sub-xp201,5,union,std,6.384651184082031,6.689550399780273
1206,rr,sub-CTS201,14,union,sig,9.385403674505831,0.8935375526553656
1205,rr.rs,sub-CTS201,3,union,mean,396.7491760253906,68.21562194824219
1204,rr.rs,sub-adult15,0,union,std,48.4149284362793,66.98650360107422
1203,rr.rs,sub-1,12,union,sig,7.253683215596742,0.5641334576344463
1202,rr,sub-CTS201,10,union,sig,9.259792631281092,1.036156411952236
1201,rr,sub-36,5,union,mean,408.9778137207031,54.78286361694336
1200,rr.rs,sub-xp201,1,union,std,12.223320960998535,13.587526321411133
1199,rs,sub-xp201,4,union,sig,8.608828981969886,1.5520871434758998
1198,rr,sub-1,15,union,sig,9.282984625576196,0.9329203163759043
1197,rr,sub-xp201,15,union,mean,622.3887329101562,66.02336883544922
1196,rr.rs,sub-36,5,union,std,0.8908689618110657,1.1143149137496948
1195,rr.rs,sub-CTS210,6,union,std,0.9595022797584534,1.0373324155807495
1194,rs,sub-CTS210,7,union,sig,6.921747856460974,1.6137888203369641
1193,rs,sub-adult15,5,union,std,14.568880081176758,14.730635643005371
1192,rr,sub-36,13,union,mean,398.2436218261719,39.7802848815918
1191,rr,sub-36,2,union,std,1.519426941871643,2.295198440551758
1190,rs,sub-CTS210,13,union,std,0.45001813769340515,0.44816431403160095
1189,rs,sub-xp207,2,union,sig,6.794392045664251,1.6980093203633264
1188,rr.rs,sub-xp207,13,union,mean,455.2832336425781,44.0314826965332
1187,rr.rs,sub-xp207,7,union,std,1.6755927801132202,3.42826771736145
1186,rs,sub-36,15,union,mean,396.4898681640625,38.258384704589844
1185,rr.rs,sub-adult15,16,union,std,7.88163948059082,4.771367073059082
1184,rr,sub-36,15,union,sig,9.48418121939476,0.784975114630588
1183,rr,sub-1,5,union,mean,683.2632446289062,110.08707427978516
